Date,PM2.5,PM10,NOx,SO2,CO,O3
01-02-2018 00:00,227.39,445.35,68.75,13.64,1.4,None
02-02-2018 00:00,181.58,351.75,69.02,11.03,0.96,None
03-02-2018 00:00,152.29,304.04,66.94,14.95,0.86,None
04-02-2018 00:00,172.12,301.08,64.92,13.45,0.88,3.13
05-02-2018 00:00,210.75,372.96,84.57,16.52,1.04,27.55
06-02-2018 00:00,170.46,329.04,69.84,14.07,0.92,25.62
07-02-2018 00:00,160.46,292.33,66.13,14.23,0.9,37.69
08-02-2018 00:00,236.96,405.79,73.78,11.2,1.42,33.42
09-02-2018 00:00,250.46,423.21,68.57,13.24,1.42,39.28
10-02-2018 00:00,269.71,498.88,45.8,7.16,3.03,44.46
11-02-2018 00:00,146.42,315.46,53.84,8.38,1.05,42.96
12-02-2018 00:00,82.08,199.92,23.92,4.43,0.72,37.89
13-02-2018 00:00,140.83,223.67,55.61,6.75,0.98,42.24
14-02-2018 00:00,93,189.38,34.85,7.75,0.58,31.47
15-02-2018 00:00,113.46,210.12,37.27,10,0.73,32.98
16-02-2018 00:00,157.04,265.29,57.79,11.02,0.94,34.4
17-02-2018 00:00,177.21,315.96,48.29,10.69,0.92,31.54
18-02-2018 00:00,178.42,309.33,42.51,8.93,1.17,41.65
19-02-2018 00:00,247.54,422.12,59.16,12.69,1.63,43.41
20-02-2018 00:00,214.58,413.04,63.74,11.48,1.72,46.3
21-02-2018 00:00,221.25,460.75,65.99,8.75,2.38,53.87
22-02-2018 00:00,194.42,404.04,60.03,10.11,1.46,43.94
23-02-2018 00:00,199.05,421.78,59.76,9.4,1.36,42
24-02-2018 00:00,151.32,392.52,40.22,3.39,0.06,10.52
25-02-2018 00:00,103.71,238.26,48.64,5.21,0.21,7.43
26-02-2018 00:00,75.54,190.42,43.63,8.05,0.52,35.11
27-02-2018 00:00,110.32,217.02,55.83,10.9,0.73,37.12
28-02-2018 00:00,178.64,345.41,56.25,10.8,0.95,46.47
01-03-2018 00:00,150.44,310.76,58.62,7.75,0.87,39.64
02-03-2018 00:00,180.5,305.17,54.22,5.59,1.35,51.15
03-03-2018 00:00,126.5,276.04,35.66,5.44,0.74,41.28
04-03-2018 00:00,91.58,213.88,39.41,9.92,0.58,39.74
05-03-2018 00:00,90.74,189.57,46.02,9.91,0.49,41.45
06-03-2018 00:00,103.28,212.47,41.44,4.81,0.21,21.92
07-03-2018 00:00,105.96,215.42,52.73,10.48,0.66,43.38
08-03-2018 00:00,194.88,406.38,57.43,8,1.36,42.95
09-03-2018 00:00,170.17,346.58,59.52,14.48,0.86,48.84
10-03-2018 00:00,96.23,223.31,43.29,11.83,0.4,38.07
11-03-2018 00:00,106.63,220.45,54.48,13.99,0.58,45.03
12-03-2018 00:00,130.38,282.92,49.07,13.11,0.58,49.15
13-03-2018 00:00,147.48,352.14,56.14,10.25,1.1,54.52
14-03-2018 00:00,118.22,402.2,60.01,6.66,1,49.19
15-03-2018 00:00,136,441.29,45.43,7.09,0.71,40.35
16-03-2018 00:00,130.21,335.88,44.54,10.53,0.54,44.27
17-03-2018 00:00,119.52,268.96,31.37,11.47,0.4,38.12
18-03-2018 00:00,69.79,201.21,27.5,7.04,0.41,85.43
19-03-2018 00:00,90.21,261.88,36.86,9.01,0.59,55.03
20-03-2018 00:00,132.12,338.42,47.76,6.22,0.45,53.44
21-03-2018 00:00,149.62,348.11,23.43,11.73,0.6,66.77
22-03-2018 00:00,87.33,211.95,19.58,6.63,0.44,60.5
23-03-2018 00:00,73.6,181.34,38.29,9.74,0.42,45.79
24-03-2018 00:00,98.9,240.07,41.77,12.26,0.44,47.17
25-03-2018 00:00,94,246.54,31.83,12.11,0.46,47.29
26-03-2018 00:00,107.79,271.71,37.91,15.4,0.53,48.21
27-03-2018 00:00,130.58,336.5,38.97,7.86,1.05,52.03
28-03-2018 00:00,132.25,371.08,36.71,6.5,1.36,34.02
29-03-2018 00:00,107.33,267.5,29.45,13.57,0.45,51.86
30-03-2018 00:00,126.15,314.81,20.12,6.41,0.39,56.78
31-03-2018 00:00,None,None,None,None,None,None
01-04-2018 00:00,105.14,311.43,25.2,5.64,0.78,67.97
02-04-2018 00:00,113.54,303.33,32.25,4.73,0.76,73.5
03-04-2018 00:00,115.58,313.71,35.17,7.75,0.75,84.05
04-04-2018 00:00,140.71,350.54,39.53,8.34,0.92,74.81
05-04-2018 00:00,218.17,449.75,31.59,13.79,0.9,30.84
06-04-2018 00:00,102.73,244.37,23.16,9.04,0.52,59.82
07-04-2018 00:00,52.9,160.91,25.81,6.48,0.47,78.98
08-04-2018 00:00,50.47,165.96,23.66,4.01,0.44,88.11
09-04-2018 00:00,54.62,157.25,29,0.71,0.74,53.35
10-04-2018 00:00,103.46,331.25,38.3,3.64,0.64,76.27
11-04-2018 00:00,51.21,151.46,33.04,5.81,0.37,60.46
12-04-2018 00:00,50.04,129.92,38.94,7.11,0.53,64.83
13-04-2018 00:00,83.62,208,53.51,10.13,0.74,51.32
14-04-2018 00:00,97.29,252.33,58.35,16.13,0.65,55.66
15-04-2018 00:00,125.5,326.58,57.3,12.46,0.98,69.93
16-04-2018 00:00,130.42,404.67,51.53,13.15,0.91,66.05
17-04-2018 00:00,76.67,293.79,51.92,9.78,0.52,37.44
18-04-2018 00:00,75.86,317.46,38.74,9.71,0.36,46.12
19-04-2018 00:00,101.65,347.57,49.7,6.44,0.52,48.92
20-04-2018 00:00,96,447.55,27.66,8.13,0.38,49.28
21-04-2018 00:00,101.33,574.29,27.96,10.6,0.32,48.24
22-04-2018 00:00,84.83,281.92,34.24,17.93,0.33,51.7
23-04-2018 00:00,103.15,281.04,49.79,14.43,0.58,55.63
24-04-2018 00:00,155.67,354.08,42.48,13.63,0.88,59.1
25-04-2018 00:00,126.29,389,44.39,6.91,1.65,51.75
26-04-2018 00:00,146.12,509.92,47.99,6.74,1.18,55.47
27-04-2018 00:00,112.39,425.12,18.75,1.71,0.63,95.75
28-04-2018 00:00,89.18,409.79,20.11,2.85,0.52,90.17
29-04-2018 00:00,95.58,314.31,32.02,9.08,0.66,67.2
30-04-2018 00:00,81.13,249.14,34.1,6.16,0.56,63.35
01-05-2018 00:00,55.29,205.86,26.96,4.38,0.5,90.88
02-05-2018 00:00,62.46,181.23,35.47,1.95,0.43,83.19
03-05-2018 00:00,49.93,185.2,25.13,4.33,0.41,66.27
04-05-2018 00:00,52.17,142.16,30.33,5.72,0.5,83.43
05-05-2018 00:00,87.51,237.92,47.56,6.98,0.82,61.14
06-05-2018 00:00,125.6,348.46,46.91,8.46,0.79,67.22
07-05-2018 00:00,129.9,357.33,51.35,10.49,0.83,60.58
08-05-2018 00:00,51.95,177.01,27.4,2.3,0.29,69.61
09-05-2018 00:00,86.2,193.92,41.01,2.37,0.79,59.38
10-05-2018 00:00,115.56,260.58,52.61,5.67,0.99,71.47
11-05-2018 00:00,167.42,378.74,53.62,2.31,1.11,71.31
12-05-2018 00:00,159.43,386.92,44.73,1.76,1.04,64.89
13-05-2018 00:00,80.64,268.82,34.03,1.16,0.44,81.16
14-05-2018 00:00,54.88,159.17,23.28,1.78,0.5,84.85
15-05-2018 00:00,78.86,206.18,31.38,2.52,0.63,95.07
16-05-2018 00:00,81.3,234.54,36.92,5.04,0.54,68.76
17-05-2018 00:00,114.58,338.48,37.23,7.87,0.59,75.91
18-05-2018 00:00,111.08,294.58,41.35,8.46,0.7,65.81
19-05-2018 00:00,118.54,340.67,50.78,7.51,0.9,75.91
20-05-2018 00:00,100.75,290.46,39.79,8.25,0.61,63.47
21-05-2018 00:00,71.75,261.02,30.87,7.33,0.43,69.06
22-05-2018 00:00,104.23,312.07,44.03,9.11,1.07,67.3
23-05-2018 00:00,151.04,418.82,52.15,9.68,1.04,57.21
24-05-2018 00:00,118.58,332.73,52.79,12.33,0.77,59.72
25-05-2018 00:00,109.97,326.06,86.88,13.11,0.98,15.22
26-05-2018 00:00,112.45,316.1,47.07,7.38,1.03,76.58
27-05-2018 00:00,93.09,370.47,57.64,6.54,0.63,54.54
28-05-2018 00:00,139.94,360.63,51.14,10.21,1.05,78.13
29-05-2018 00:00,107.36,361.7,52.87,5.56,0.75,61.47
30-05-2018 00:00,60.57,357.93,49.35,2.7,0.44,62.73
31-05-2018 00:00,70.71,270.54,38.8,6.06,0.59,57.07
01-06-2018 00:00,88.13,258.24,44.35,3.46,0.4,70.01
02-06-2018 00:00,48.09,157.05,25.09,6.06,0.4,71.43
03-06-2018 00:00,57.1,152.82,31.55,4.73,0.44,75.64
04-06-2018 00:00,57.73,199.04,38.53,3.26,0.43,66.21
05-06-2018 00:00,50.08,162.54,33.37,2.72,0.47,52.74
06-06-2018 00:00,55.09,167.78,45.88,3.54,0.54,30.51
07-06-2018 00:00,74.29,181.02,31.67,5.43,0.62,56.02
08-06-2018 00:00,71.92,217.87,36.67,3.7,0.57,30.06
09-06-2018 00:00,53.13,164.32,49.58,1.91,0.56,22.24
10-06-2018 00:00,66.1,162.78,48.3,3.92,0.77,36.09
11-06-2018 00:00,72.37,252.79,32.83,6.84,0.56,31.01
12-06-2018 00:00,138.72,499.67,28.91,5.54,0.52,19.32
13-06-2018 00:00,252.97,925.8,31.43,2.97,0.34,12.75
14-06-2018 00:00,192.13,934.6,25.52,1.73,0.36,19.76
15-06-2018 00:00,134.37,607.1,25.43,2.59,0.33,21.31
16-06-2018 00:00,126.58,670.25,25.99,3.34,0.38,25.53
17-06-2018 00:00,76.83,299.71,31.74,2.34,0.31,31.83
18-06-2018 00:00,62.38,171.92,27.55,5.62,0.37,33.38
19-06-2018 00:00,50.67,166.46,26.7,3.82,0.37,46.17
20-06-2018 00:00,83.51,216.84,29.88,4.68,0.47,59.45
21-06-2018 00:00,81.46,371.04,31.91,5.11,0.52,66.58
22-06-2018 00:00,97.33,327.67,52.02,8.46,0.71,73.57
23-06-2018 00:00,79,312.08,36.9,6.92,0.54,82.57
24-06-2018 00:00,59.25,208.57,33,7.51,0.44,66.12
25-06-2018 00:00,40.58,198.64,22.71,7.57,0.36,22.31
26-06-2018 00:00,17.21,65.96,14.43,13.5,0.45,37.97
27-06-2018 00:00,54.79,105.14,11.21,10.53,0.57,66.8
28-06-2018 00:00,27.03,51.04,7.91,5.31,0.49,45.93
29-06-2018 00:00,36.57,79.23,14.4,7.69,0.6,49.83
30-06-2018 00:00,34.98,99.12,24.96,6.6,0.7,35.7
01-07-2018 00:00,23.5,92.19,19.83,3.97,0.55,33.48
02-07-2018 00:00,21.67,133.44,15.19,5.25,0.43,44.75
03-07-2018 00:00,35.6,109.39,26.83,5.14,0.67,54.5
04-07-2018 00:00,37.5,104.8,22.46,6.81,0.58,68.08
05-07-2018 00:00,43.06,142.17,49.28,8.9,0.59,57.83
06-07-2018 00:00,49.33,181.33,41.17,7.14,0.56,60.96
07-07-2018 00:00,58.92,175.5,24.56,7.07,0.62,80.85
08-07-2018 00:00,61.27,175.5,19.57,7.98,0.61,107.83
09-07-2018 00:00,65.62,167.58,15.66,10.21,0.63,73.91
10-07-2018 00:00,42.28,111.5,14.1,7.66,0.62,62.79
11-07-2018 00:00,37.98,102.56,16.46,9.15,0.65,48.81
12-07-2018 00:00,51.46,150.6,20.03,6.08,0.59,58.27
13-07-2018 00:00,31.19,61.15,21.75,7.06,0.74,28.44
14-07-2018 00:00,34.28,70.88,19.82,8.41,0.68,28.26
15-07-2018 00:00,41.58,86.17,21.25,19.75,0.77,34.66
16-07-2018 00:00,35.27,74.31,28.43,15.71,0.98,19.16
17-07-2018 00:00,28.11,86.95,20.81,17.67,0.74,41.12
18-07-2018 00:00,34.65,93.69,18.1,19.49,0.67,40.7
19-07-2018 00:00,27.94,77.67,17.49,20.6,0.8,39.05
20-07-2018 00:00,35.76,85.47,26.07,15.82,0.85,20.92
21-07-2018 00:00,41.43,88.65,29.99,20.75,0.98,35.41
22-07-2018 00:00,21.22,43.73,19.13,15.02,0.73,26.87
23-07-2018 00:00,24.44,63.08,16.3,17.43,0.76,31.5
24-07-2018 00:00,37.81,104.98,17.65,18.37,0.88,42.05
25-07-2018 00:00,30.08,82.21,11.59,14.14,0.78,17.77
26-07-2018 00:00,20.5,42.62,14.84,15.11,0.68,11.88
27-07-2018 00:00,15.19,27.29,11.27,15.92,0.69,13.8
28-07-2018 00:00,31.65,68.62,13.27,16.29,0.77,21.27
29-07-2018 00:00,58.71,148.21,11.23,15.09,0.69,21.99
30-07-2018 00:00,56.6,151.31,6.43,15.26,0.62,29.94
31-07-2018 00:00,70.83,194,8.1,16.73,0.75,23.98
01-08-2018 00:00,87.94,253.04,7.12,16.73,0.72,29.99
02-08-2018 00:00,107.15,328.29,11.25,17.53,0.76,25.67
03-08-2018 00:00,92.65,308.21,14.96,15.35,0.81,24.76
04-08-2018 00:00,93.64,318.48,14.37,15.4,0.57,29.34
05-08-2018 00:00,84.19,277.61,9.03,16.13,0.56,20.68
06-08-2018 00:00,44.05,129.89,10.31,15.52,0.62,15.9
07-08-2018 00:00,43.3,118.58,17.1,19.83,0.83,29.74
08-08-2018 00:00,31.71,83.4,20.6,16.93,0.85,29.61
09-08-2018 00:00,28.06,84.27,15.71,18.94,0.8,36.84
10-08-2018 00:00,36.62,115.62,19.99,16.12,0.98,34.73
11-08-2018 00:00,33.77,113.58,11.85,16.26,0.59,25.92
12-08-2018 00:00,26.5,92.42,12.6,15.54,0.67,23.52
13-08-2018 00:00,28.1,91.65,13,15.9,0.63,29.4
14-08-2018 00:00,37.37,124.85,17.04,14.99,0.79,33.65
15-08-2018 00:00,36.62,120,11.81,17.16,0.65,41.76
16-08-2018 00:00,35.85,89.85,17.08,17.38,0.96,43.45
17-08-2018 00:00,22.19,62.64,10.3,14.78,0.71,24.86
18-08-2018 00:00,29.17,72.12,11.63,18.46,0.83,31.11
19-08-2018 00:00,52.74,109.31,19.36,19.11,1.16,17.62
20-08-2018 00:00,61.38,126.76,28.84,18.92,1.56,37.41
21-08-2018 00:00,28.79,87.88,31.48,22.69,0.62,34.43
22-08-2018 00:00,23.08,63.75,32.99,17.55,0.58,21.8
23-08-2018 00:00,20.93,64.78,26.45,15.37,0.52,10.05
24-08-2018 00:00,17.96,93.79,25.59,15.25,1.41,17.72
25-08-2018 00:00,18.71,96.88,18.53,15.29,0.5,21.4
26-08-2018 00:00,17.08,79.08,15.06,14.81,0.5,28.99
27-08-2018 00:00,14.06,41.25,11.47,14.27,0.15,27.16
28-08-2018 00:00,23.5,49.29,15.14,16.56,0.74,23.1
29-08-2018 00:00,29.77,65.21,16.73,16.8,0.83,22.01
30-08-2018 00:00,36.71,95.31,18.67,14.26,2.76,35.13
31-08-2018 00:00,38.53,159.36,8.17,12.7,None,18.61
01-09-2018 00:00,37.27,103.29,6.82,14.03,0.3,8.06
02-09-2018 00:00,35.38,69.6,3.64,13.9,0.32,19.28
03-09-2018 00:00,38.31,64.88,5.13,14.91,1.44,28.19
04-09-2018 00:00,62.39,118.71,5.62,15.42,1.55,35.75
05-09-2018 00:00,35.92,108.71,4.05,13.76,1.21,21.38
06-09-2018 00:00,35.27,124.54,4.3,14.8,0.68,25.36
07-09-2018 00:00,28.77,74.6,5.32,14.63,0.86,27.88
08-09-2018 00:00,25.57,61.01,4.46,16.24,0.79,21.19
09-09-2018 00:00,18.21,48.46,8.56,13.67,1.07,39.06
10-09-2018 00:00,33.67,77.23,8.62,16.42,0.53,48.49
11-09-2018 00:00,19.5,66.77,10.46,13.66,0.66,27.23
12-09-2018 00:00,21.76,102.44,13.34,13.29,0.68,23.71
13-09-2018 00:00,19.29,121.52,12.35,14.9,0.63,25.36
14-09-2018 00:00,24.79,121.88,12.76,15.52,0.7,26.05
15-09-2018 00:00,31.08,121.88,15.66,16.84,0.7,26.91
16-09-2018 00:00,42.75,140.22,16.59,19.32,0.68,27.94
17-09-2018 00:00,62.49,173.61,16.03,18.56,0.79,40.02
18-09-2018 00:00,64.82,187.83,39.66,20.56,0.8,45.07
19-09-2018 00:00,64.3,189.92,39.87,19.02,0.76,50.65
20-09-2018 00:00,57.62,194.15,10.61,18.83,0.33,65.56
21-09-2018 00:00,34,105.46,11.17,16.27,0.44,22.61
22-09-2018 00:00,16.12,44.27,16.09,17.41,0.53,21.54
23-09-2018 00:00,18.77,56.69,13.84,17.05,0.45,29.64
24-09-2018 00:00,12.42,32.85,19.49,14.16,0.39,15.86
25-09-2018 00:00,17,54.08,35.56,14.9,0.39,14.41
26-09-2018 00:00,30.63,94,46.46,15.29,0.46,28.22
27-09-2018 00:00,67.27,181.42,68.47,16.19,0.5,37.72
28-09-2018 00:00,81.79,233.38,99.51,17.01,0.7,38.98
29-09-2018 00:00,76.04,219.29,60.03,18.97,0.32,47.3
30-09-2018 00:00,53.27,140.35,45.57,20.3,0.38,36.29
01-10-2018 00:00,62.06,183.29,46.86,21.14,0.45,44.86
02-10-2018 00:00,70.23,191.33,47.67,17.44,0.42,40.45
03-10-2018 00:00,69,207.71,59.09,18.14,0.51,49.42
04-10-2018 00:00,94.06,239.48,63.83,21.43,0.44,34.4
05-10-2018 00:00,116.52,260.52,75.93,24.1,0.53,53.44
06-10-2018 00:00,72.57,180,60.87,22.9,0.39,35.77
07-10-2018 00:00,65.55,244.5,53.97,28,0.44,55.71
08-10-2018 00:00,72.93,293.49,47.58,23.48,0.57,56.32
09-10-2018 00:00,58.52,273.48,64.87,33.61,0.68,72.44
10-10-2018 00:00,61.94,261.34,44.82,30.26,1.27,59.19
11-10-2018 00:00,37.06,215.02,28.44,18.39,0.74,41.57
12-10-2018 00:00,58.11,190.06,41.81,21.93,0.65,50.06
13-10-2018 00:00,167.44,292.81,64.14,34.35,0.78,42.1
14-10-2018 00:00,101.96,222.35,75.36,32.37,0.73,44.22
15-10-2018 00:00,115.55,298.56,66.54,21.36,1.01,51.24
16-10-2018 00:00,64.68,343.05,93.26,24.2,1.63,67.97
17-10-2018 00:00,58.64,336.44,109.98,20.9,1.77,49.55
18-10-2018 00:00,57.53,343.02,131.72,22.34,2.02,52.3
19-10-2018 00:00,52.32,321.98,51.37,22.79,0.92,51.31
20-10-2018 00:00,53.1,312.86,49.37,27.16,0.88,54.9
21-10-2018 00:00,48.31,272.23,70.02,31.61,0.84,45.42
22-10-2018 00:00,49.56,274.86,86.51,27.23,1.13,42.83
23-10-2018 00:00,48.24,302.26,95.32,23.65,1.38,61.17
24-10-2018 00:00,69.31,349.52,144.47,25.27,2,68
25-10-2018 00:00,56.6,341.49,115.26,28.26,2.01,89.34
26-10-2018 00:00,66.65,391.1,128.55,27.73,2.27,58.63
27-10-2018 00:00,72.48,402.33,171.33,26.02,3.65,63
28-10-2018 00:00,69.12,379.52,112.86,24.55,2.12,48.14
29-10-2018 00:00,150.86,530.33,138.47,23.31,2.72,44.56
30-10-2018 00:00,294.69,495.29,115.57,19.76,2.65,50.24
31-10-2018 00:00,258.58,444.19,132.51,20.64,2.72,43.21
01-11-2018 00:00,314.88,519.33,138.62,22.09,3.48,41.06
02-11-2018 00:00,235.31,406.17,55.09,19.52,1.59,40.44
03-11-2018 00:00,176.06,327.71,26.83,15.86,1.09,42.71
04-11-2018 00:00,121.95,208.08,18.4,15.19,0.7,64.03
05-11-2018 00:00,460.49,607.32,34.81,16.4,1.56,30.34
06-11-2018 00:00,215.76,411.42,46.35,23.18,1.12,39.33
07-11-2018 00:00,210.2,379.66,49.61,18.96,1.91,54.71
